ASV,pH.preference,"Predicted pH (XGBoost, permutation)"
482,7.5,7.463486
483,7.5,6.676014
484,7.51,6.8851185
485,7.51,6.8441215
486,7.56,6.9353657
487,7.56,6.570504
488,7.56,7.487668
489,7.56,6.5721283
490,7.56,6.3216166
491,7.56,7.3222146
492,7.6,7.322981
493,7.63,7.4830422
494,7.65,6.9353657
495,7.65,7.478848
496,7.65,7.333421
497,7.66,6.989425
498,7.71,7.441453
499,7.72,6.659993
500,7.72,7.438651
501,7.72,7.227381
502,7.72,6.95065
503,7.73,7.6140766
504,7.74,7.0494432
505,7.76,6.871328
506,7.77,7.093828
507,7.8,7.1173434
508,7.84,7.163754
509,7.86,6.9353657
510,7.86,6.9353657
511,7.86,6.6602607
512,7.86,7.0678678
513,7.86,7.438651
514,7.86,6.8214383
515,7.88,6.9813023
516,7.9,7.7781677
517,7.93,6.9353657
518,7.99,7.287231
519,7.99,7.316761
520,7.99,6.8943644
521,8.0,6.9997053
522,8.0,7.9998293
523,8.0,7.8364916
524,8.08,7.0206046
525,8.08,7.7025476
526,8.18,7.0323887
527,4.69,4.676999
528,5.81,6.4185557
529,7.0,6.9904165
530,7.79,7.141959
531,7.72,7.028372
532,4.03,4.465285
533,4.25,4.4498167
534,4.44,4.696881
535,4.56,4.520986
536,4.63,5.025358
537,4.63,5.373291
538,4.63,4.6173935
539,4.73,4.6588383
540,4.8,6.686652
541,4.8,5.0158763
542,4.8,5.3970065
543,5.0,4.5012393
544,5.0,5.387399
545,5.05,5.512722
546,5.05,5.221181
547,5.05,4.696881
548,5.05,5.720495
549,5.1,6.141736
550,5.11,5.8197875
551,5.2,6.14982
552,5.23,6.496192
553,5.23,5.1213555
554,5.42,5.221212
555,5.44,6.421047
556,5.5,5.3185043
557,5.5,5.731083
558,5.5,6.573082
559,5.5,5.3365393
560,5.5,5.3709207
561,5.5,5.5479198
562,5.5,5.669917
563,5.53,6.2169843
564,5.57,6.031133
565,5.57,6.339619
566,5.57,6.2105947
567,5.61,6.193039
568,5.63,5.745853
569,5.63,5.8648596
570,5.63,5.9222364
571,5.63,5.9307656
572,5.63,5.7688475
573,5.67,5.731654
574,5.67,6.4221187
575,5.74,5.9846997
576,5.74,6.022902
577,5.76,5.8732786
578,5.79,6.035742
579,5.8,6.0285015
580,5.8,6.2504845
581,5.85,7.0323887
582,5.85,6.8214383
583,5.86,6.1416965
584,5.87,6.5300646
585,5.88,5.736494
586,5.89,6.1740966
587,5.9,6.378805
588,5.9,5.4651
589,5.9,5.969322
590,5.9,6.3889065
591,5.96,7.0678678
592,5.96,5.7792773
593,5.98,6.5644283
594,6.02,6.8794017
595,6.02,6.8943644
596,6.03,6.6602607
597,6.03,6.1480293
598,6.05,6.199753
599,6.05,6.3836346
600,6.05,6.261586
601,6.06,7.0829406
602,6.09,5.582019
603,6.11,6.740626
604,6.13,6.5695353
605,6.16,6.0875053
606,6.2,5.9393606
607,6.22,6.357585
608,6.24,6.659993
609,6.24,6.7034264
610,6.28,6.700976
611,6.28,6.740626
612,6.28,6.2997675
613,6.28,5.9197564
614,6.28,6.855494
615,6.28,6.453047
616,6.29,6.665501
617,6.3,6.7758465
618,6.3,6.8943205
619,6.31,6.9353657
620,6.38,6.2594733
621,6.4,6.7222824
622,6.4,6.6223073
623,6.42,6.575757
624,6.42,6.8233957
625,6.42,6.3249865
626,6.42,7.097455
627,6.43,6.9813023
628,6.44,6.8944454
629,6.46,5.895443
630,6.47,6.1944313
631,6.47,7.105822
632,6.47,6.6469717
633,6.48,6.2687616
634,6.51,6.5272956
635,6.51,6.0267696
636,6.53,7.1991076
637,6.53,5.6707134
638,6.54,7.1173434
639,6.54,6.9813023
640,6.54,6.6636367
641,6.57,6.7908783
642,6.57,5.362956
643,6.58,6.656855
644,6.58,6.499022
645,6.58,7.1175594
646,6.6,6.659993
647,6.6,6.6758757
648,6.6,6.5272956
649,6.6,6.776989
650,6.62,6.9904165
651,6.62,6.3977075
652,6.62,6.2928114
653,6.64,6.780911
654,6.69,7.0182385
655,6.81,7.163754
656,6.83,6.5404325
657,6.94,6.873082
658,7.82,7.3992796
659,7.88,7.1175594
660,7.9,7.1993895
661,7.9,7.8840036
662,7.9,7.8646812
663,7.9,7.6713495
664,7.9,7.5809736
665,7.91,7.0939064
666,7.91,7.250227
667,7.91,6.7323427
668,7.94,7.0973516
669,7.94,7.0932755
670,7.94,7.9188976
671,7.94,7.280437
